m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;blockOfFlats;69.01;3.0;1.0;2.0;2017.0;53.47292689;14.54795844;maj.57;7.0;0.928;2.261;0.318;0.14;0.291;2.318;0.598;condominium;;premium;yes;yes;yes;no;yes;879000
szczecin;tenement;52.0;2.0;;2.0;1939.0;53.4426999;14.5062624;kwi.21;8.0;0.546;0.049;0.171;0.366;0.288;1.623;0.244;condominium;brick;;no;no;no;no;yes;430000
szczecin;blockOfFlats;69.1;3.0;1.0;2.0;2018.0;53.46891;14.5639648;05.cze;0.0;0.874;1.698;1.022;0.809;0.941;1.183;1.003;condominium;;premium;yes;no;yes;no;yes;879000
szczecin;tenement;74.6;3.0;3.0;3.0;1930.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;;no;yes;no;no;yes;639000
szczecin;tenement;76.64;4.0;4.0;4.0;1907.0;53.427881;14.5340819;sty.85;25.0;0.182;0.637;0.204;0.453;0.135;0.646;0.023;condominium;brick;premium;yes;yes;no;no;yes;650000
szczecin;blockOfFlats;36.7;2.0;7.0;8.0;1960.0;53.423309;14.558681;0.15;56.0;0.228;0.604;0.327;0.155;0.04;0.7;0.377;cooperative;concreteSlab;;no;no;yes;no;no;409000
szczecin;blockOfFlats;66.7;3.0;3.0;3.0;;53.44151907;14.4901057;05.lis;6.0;0.677;1.065;0.025;0.312;0.054;2.694;0.013;condominium;;premium;no;no;no;no;no;750000
szczecin;blockOfFlats;76.64;3.0;2.0;4.0;1990.0;53.432858;14.532781;lut.14;28.0;0.216;0.443;0.156;0.355;0.022;0.531;0.157;cooperative;;premium;no;yes;no;no;no;699000
szczecin;blockOfFlats;48.0;2.0;8.0;12.0;1980.0;53.458889;14.531111;kwi.41;7.0;0.349;0.49;0.409;0.439;0.411;1.844;0.481;condominium;;low;no;yes;yes;no;no;389000
szczecin;blockOfFlats;65.17;2.0;2.0;4.0;2001.0;53.4265537;14.5529795;0.64;62.0;0.28;0.298;0.155;0.126;0.074;0.654;0.111;condominium;brick;premium;no;no;yes;no;no;850000
szczecin;blockOfFlats;95.0;3.0;;;2018.0;53.47232;14.54658;maj.52;8.0;0.82;2.161;0.283;0.165;0.332;2.366;0.488;condominium;;premium;yes;no;;no;no;1190000
szczecin;blockOfFlats;37.5;2.0;3.0;4.0;1970.0;53.399444;14.526111;mar.53;8.0;0.109;1.004;0.153;0.178;0.166;2.296;0.141;cooperative;brick;premium;no;no;no;no;yes;420000
szczecin;blockOfFlats;58.23;3.0;1.0;2.0;2016.0;53.4782809;14.5408938;cze.25;2.0;1.336;lut.68;1.045;0.643;0.477;3.031;0.411;condominium;brick;premium;yes;yes;no;no;no;699000
szczecin;blockOfFlats;61.96;3.0;4.0;4.0;1974.0;53.428611;14.5025;mar.92;6.0;0.328;0.821;0.44;0.497;0.11;2.131;0.449;condominium;concreteSlab;;no;yes;no;no;yes;560000
szczecin;tenement;73.0;4.0;1.0;3.0;;53.4281;14.5553;0.64;65.0;0.182;0.433;0.355;0.166;0.098;0.444;0.096;condominium;brick;;yes;yes;no;no;no;470000
szczecin;;51.31;2.0;3.0;4.0;2017.0;53.4134297;14.4925976;kwi.66;4.0;0.602;sty.18;0.345;0.437;0.174;2.681;0.876;condominium;;;yes;yes;yes;no;no;615000
szczecin;blockOfFlats;63.6;4.0;;4.0;1980.0;53.366344;14.5977107;06.sie;6.0;0.192;2.907;0.381;0.294;0.203;;0.106;cooperative;concreteSlab;premium;no;yes;no;no;no;580000
szczecin;blockOfFlats;69.91;4.0;11.0;11.0;1976.0;53.4025764;14.5268005;mar.24;11.0;0.309;0.656;0.504;0.374;0.28;1.945;0.339;condominium;concreteSlab;premium;no;no;yes;no;yes;579000
